主导申请人名称,统一社会信用代码,申请人城市,当前权利人,专利数,IPC主分类号数,首次申请年份,最近申请年份,主体类型判断,是否广东样本城市,是否头部关键词命中,推荐补录优先级,补录建议
杭州红岭通信息科技有限公司,91330109MA2H39KN2P,杭州,杭州红岭通信息科技有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
杭州翼能科技有限公司,,杭州,杭州翼能科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
杭州而墨农业技术有限公司,91330108MA27XF4E89,杭州,杭州而墨农业技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
杭州肇鹏科技有限公司,91330104MA2B21PA52,杭州,杭州肇鹏科技有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
杭州艺会智能科技有限公司,91330105MA2GLG8UXU,杭州,杭州艺会智能科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
杭州艾航科技有限公司,91330101341878428E,杭州,杭州艾航科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
杭州莱宸科技有限公司,913301065930834109,杭州,杭州莱宸科技有限公司,1,1,2017,2017,企业,否,否,P3-候选观察,建议补录进企业主表
杭州萧宏建设环境集团有限公司,91330108253934178H,杭州,杭州萧宏建设环境集团有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
杭州诺祥科技有限公司,91330106MA27WC3Y14,杭州,杭州诺祥科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
杭州迅喵数字科技有限公司,91330110MA2J2CUR39,杭州,杭州迅喵数字科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
杭州追形视频科技有限公司,91330109MA2KDHBN4W,杭州,杭州追形视频科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
杭州铂科电子有限公司,91330108MA2KE6T146,杭州,杭州铂科电子有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
杭州际峰智能科技有限公司,91330105MA8GF5546T,杭州,杭州际峰智能科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
杭州零云智控科技有限公司,91330106MA2H2BWC9H,杭州,杭州零云智控科技有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
杭州靖安科技有限公司,91330110MA2KG7LGXK,杭州,杭州靖安科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
杭州靖安防务科技有限公司,91330106MA2B175M7X,杭州,杭州靖安防务科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
杭州高德智感数字科技有限公司,91330110MACM1T6F4X,杭州,杭州高德数科技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
杭州鲁尔物联科技有限公司,913301060743367978,杭州,杭州鲁尔物联科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
极目(海南)智能育种装备有限公司,91460000MA5T9R7J5G,三亚,极目(海南)智能育种装备有限公司,1,1,2018,2018,企业,否,否,P3-候选观察,建议补录进企业主表
柳州康云互联科技有限公司,91450200MA5KBF777N,柳州,柳州康云互联科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
柳州达迪通信技术股份有限公司,91450200619372967N; 9111010879902765X4,柳州,柳州达迪通信技术股份有限公司; 北京荣达千里科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
核工业金华勘测设计院有限公司,91330701147330602W,金华,核工业金华勘测设计院有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
桂林乐耕农业发展有限公司,91450323MA5KCDGW9E; 12450000498671804G,桂林,桂林乐耕农业发展有限公司; 桂林航天工业学院,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
桂林鑫鹰电子科技有限公司,91450300672470670B,桂林,桂林鑫鹰电子科技有限公司,1,1,2010,2010,企业,否,否,P3-候选观察,建议补录进企业主表
桂林飞宇科技股份有限公司,91450300664824571K,桂林,桂林飞宇科技股份有限公司,1,1,2019,2019,企业,否,否,P3-候选观察,建议补录进企业主表
桐乡市乌镇鹰航科技有限公司,91330483MA2JEMNU6D,嘉兴,佛山市鹰火微峰科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
棕榈设计集团有限公司,91440116596176292R,广州,棕榈设计集团有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
椭圆时空(深圳)科技有限公司,; 91110116MA005LQ58A,深圳,椭圆时空(深圳)科技有限公司; 椭圆时空(北京)科技有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
欣旺达动力科技股份有限公司,91440300319443305R,深圳,欣旺达动力科技股份有限公司,1,1,2023,2023,企业,是,否,P3-候选观察,建议补录进企业主表
武夷科技信息(北京)有限公司,91110115MA01H1ND6Q,北京,武夷科技信息(北京)有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
武汉万曦智能科技有限公司,91420100MA4KT4YLXP,武汉,武汉万曦智能科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉万维勘测设计有限公司,91420111MA4KXGTR1B,武汉,武汉万维勘测设计有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉中地数字孪生技术有限公司,91420100MA49P2CJ6Q,武汉,武汉中地数字孪生技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉中海庭数据技术有限公司,91420100MA4KNJH08E,武汉,武汉中海庭数据技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉仟翼空天智能科技有限公司,91420102MACHU12K7Y,武汉,武汉仟翼空天智能科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉伊派思科技有限公司,9142010369834682XT,武汉,武汉伊派思科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉众宇动力系统科技有限公司,914201005749431477,武汉,武汉众宇动力系统科技有限公司,1,1,2018,2018,企业,否,否,P3-候选观察,建议补录进企业主表
武汉依迅北斗空间技术有限公司,914201000946697402,武汉,武汉依迅北斗空间技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉俊国力防腐涂装工程有限公司,91420112070533507J,武汉,武汉俊国力防腐涂装工程有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉元一宇宙控股集团股份有限公司,91420100MAC50D332E,武汉,武汉元一宇宙控股集团股份有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉光谷信息技术股份有限公司,91420100663491955X,武汉,武汉光谷信息技术股份有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
武汉华中天经通视科技有限公司,91420115675821755W,武汉,武汉华中天经通视科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
武汉华测卫星技术有限公司,91420100MA4KQR5A11; 91310000754343149G; 91310118775211831Q,武汉,武汉华测卫星技术有限公司; 上海华测导航技术股份有限公司; 上海双微导航技术有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉华测卫星技术有限公司,91420100MA4KQR5A11; 91420100555029069G,武汉,武汉华测创新空间信息技术有限责任公司; 武汉智能鸟无人机有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
武汉华航清舟智能科技有限公司,91420111MAD9J8G30P,武汉,武汉华航清舟智能科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉华辰地信科技有限公司,91420100303445250E,武汉,武汉华辰地信科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉博思唯尔软件技术有限公司,91420100MA4KXRWA1A,武汉,武汉博思唯尔软件技术有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉博迪电力科技有限公司,91420100MA4K55U55H,武汉,武汉博迪电力科技有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
武汉发明家创新科技有限公司,91420100MA4K39XA5F,武汉,武汉发明家创新科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉四达数智检测科技有限公司,91420100MAD0C85R0C; 91411082MA3X41F37C,武汉,武汉四达数智检测科技有限公司; 河南四达检测技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉垒图信息科技有限公司,91420107MA4KMYJC48,武汉,武汉垒图信息科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉天拓宇航智能装备有限公司,91420100MA49BEE348,武汉,武汉天拓宇航智能装备有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
武汉天进科技有限公司,91420100MA4KN8TR5R,武汉,武汉天进科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉天驭灵动生活网络技术有限公司,91420103303387548D,武汉,武汉优速在线电子商务有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
武汉市品持科技有限公司,91420100MABRQQBF7E; 914403003428283509,武汉,武汉市品持科技有限公司; 深圳玩智商科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉市湖聚科技有限公司,91420106MAD5UYM95W,武汉,武汉市湖聚科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉市聚芯微电子有限责任公司,91420100MA4KLWL91U,武汉,武汉市聚芯微电子有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉市软邦智联技术有限公司,91420107MA4KQNUP2X,武汉,武汉市软邦智联技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉市锦阙程科技有限公司,91420114MADMU8N29L,武汉,武汉市锦阙程科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉微集思科技有限公司,914201063334327091,武汉,武汉微集思科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
武汉思众空间信息科技有限公司,91420100MA4KNFCU0F,武汉,武汉思众空间信息科技有限公司,1,1,2017,2017,企业,否,否,P3-候选观察,建议补录进企业主表
武汉恒新动力科技有限公司,91420100333483389R,武汉,武汉恒新动力科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉恒诚智创信息科技有限公司,91420107MA4KTK9P71,武汉,武汉恒诚智创信息科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉慧测电力科技有限公司,91420100672796347Q,武汉,武汉慧测电力科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉捷成电力科技有限公司,914201007831649163,武汉,武汉捷成电力科技有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
武汉新水环保科技有限责任公司,91420100MABWHWPC3H,武汉,武汉新水环保科技有限责任公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉星环恒宇信息科技有限公司,91420111303695778F,武汉,武汉星环恒宇信息科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉普宙飞行器科技有限公司,91420100MA4KXA1C40,武汉,武汉普宙飞行器科技有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
武汉智云奇盛科技有限公司,91420100MACPRXPQ03,武汉,武汉智云奇盛科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉智会创新科技有限公司,91420100MA49FA722B,武汉,武汉智会创新科技有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
武汉智能鸟无人机有限公司,91420100555029069G,武汉,武汉智能鸟无人机有限公司,1,1,2017,2017,企业,否,否,P3-候选观察,建议补录进企业主表
武汉木禾造景园林工程有限公司,91420111MACCDBX00Y,武汉,武汉木禾造景园林工程有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉未来幻影科技有限公司,91420100MA49RYC099,武汉,武汉未来幻影科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉正华建筑设计有限公司,9142010275182043XG,武汉,武汉正华建筑设计有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉永业赛博能规划勘测有限公司,91420106731049801Y,武汉,武汉永业赛博能规划勘测有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉海华信通科技有限公司,91420100MA4KYKP790,武汉,武汉海华信通科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉深捷科技股份有限公司,9142010076123547X6; 914202001784139888,武汉,武汉深捷科技股份有限公司; 国网湖北省电力有限公司黄石供电公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉滨湖电子有限责任公司,91420100177701232Y,武汉,武汉滨湖电子有限责任公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉煜炜光学科技有限公司,91420100MA4K4QBX51,武汉,武汉煜炜光学科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉珈鹰智能科技有限公司,91420100MA4KXT0X16,武汉,武汉珈鹰智能科技有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
武汉珞珈新空科技有限公司,91420100MA4KNDX46C,武汉,武汉珞珈新空科技有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
武汉祁联生态科技有限公司,91420111MA4KPT6737,武汉,武汉祁联生态科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉科迪奥电力科技有限公司,91420100591073382Q; 91110000400007201W,武汉,武汉科迪奥电力科技有限公司; 中国电力科学研究院有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉稳青科技有限公司,91420111MA4F0N4F9D,武汉,武汉稳青科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉能钠智能装备技术股份有限公司四川省成都市分公司,914201006918857080,成都,武汉能钠智能装备技术股份有限公司四川省成都市分公司; 武汉能钠智能装备技术股份有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉象印科技有限责任公司,91420100MA7KYMYU51,武汉,武汉象印科技有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉追月信息技术有限公司,91420100MA4KN06M6D,武汉,武汉追月信息技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉鑫岳光电科技有限公司,91420100MA4K48G085,武汉,武汉鑫岳光电科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉鑫诚鼎泰科技有限公司,91420112077708461X,武汉,武汉鑫诚鼎泰科技有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
武汉银桥南海光电有限公司,914201120630123755,武汉,武汉银桥南海光电有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉际上导航科技有限公司,91420100303686855B,武汉,武汉际上导航科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉雄韬氢雄燃料电池科技有限公司,91420100MA4KX9672R,武汉,武汉雄韬氢雄燃料电池科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
武汉青绿山水科技有限公司,91420111MA4L0B2T38,武汉,武汉青绿山水科技有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
武汉高德红外股份有限公司,91420100764602490E; 91420100MA4KYPP3XN,武汉,武汉高德红外股份有限公司; 武汉高德微机电与传感工业技术研究院有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
武汉鸿源鼎信科技有限公司,91420100MA4F2A4R2W,武汉,武汉鸿源鼎信科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
比科奇微电子(杭州)有限公司,91330108MA2GPW1725,杭州,比科奇微电子(杭州)有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
毕马智能科技(上海)有限公司,91310110324600934H,上海,毕马智能科技(上海)有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
民太安安全科技股份有限公司,91440300782797076Y,深圳,民太安安全科技股份有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
民航成都电子技术有限责任公司,915101323274208241,成都,民航成都电子技术有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
民航机场建设工程有限公司,911201161036225156,天津,民航机场建设工程有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
水发数字科技有限公司,91370212MA3FG1PK9W; 913701021659468652,青岛,水发数字科技有限公司; 水发规划设计有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
永靖国能光伏发电有限公司,91622923MA71PGAY2A,临夏,永靖国能光伏发电有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
汇星海科技(天津)有限公司,911201163006003669,天津,汇星海科技(天津)有限公司,1,1,2018,2018,企业,否,否,P3-候选观察,建议补录进企业主表
汉中市汉台区恒康动物防疫技术有限公司,916107023053890537,汉中,汉中市汉台区恒康动物防疫技术有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
汉唐和元(武汉)科技有限公司,91420100MA49JXPX5U,武汉,汉唐和元(武汉)科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
汉寿何岗新能源汽车有限公司,91430722MA4L4PHR20,常德,汉寿何岗新能源汽车有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏三变科技有限公司,91320105MA1WEFQK40,南京,江苏三变科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏三臺消防科技集团有限公司,91321023MA1MUAXK31,扬州,江苏三臺消防科技集团有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏世通环宇电力科技有限公司,91320113MA22TJM370,南京,江苏世通环宇电力科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏东南测绘科技有限公司,91320312MA1W99RDX9,徐州,江苏东南测绘科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏东蓝信息技术有限公司,9132000057383570XB,南京,江苏东蓝信息技术有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏东飞智能科技有限公司,91321181331136463M,镇江,江苏东飞智能科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏中信博新能源科技股份有限公司,91320583696798806E,苏州,江苏中信博新能源科技股份有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏中和建筑科技有限公司,91320281MA7GE39D25,无锡,江苏中和建筑科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏中多绿能新能源科技有限公司,91320505MA25MW2724,苏州,江苏中多绿能新能源科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏中戎盛世装备制造有限公司,91320191MA1R6BMG74,南京,江苏中戎盛世装备制造有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏中科云墨视觉科技有限公司,91320214MAC8N59E7B,无锡,江苏中科云墨视觉科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏中鑫项目管理有限公司,91321000769144556J,扬州,江苏中鑫项目管理有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏丰东信息科技有限公司,91320303MA1MXC263C,徐州,江苏丰东信息科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏九设机器人科技有限公司,91320621MA1WPNRGX7,南通,江苏九设机器人科技有限公司,1,1,2019,2019,企业,否,否,P3-候选观察,建议补录进企业主表
江苏云圣智能科技有限责任公司,91320585MACEE5F90E; 91652301MADCL3GH56,苏州,江苏云圣智能科技有限责任公司; 昌吉云圣智能科技有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏云睿汽车电器系统有限公司,9132031206187561XA; 12100000717826133X,徐州,江苏云睿汽车电器系统有限公司; 中国科学院青岛生物能源与过程研究所,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏亨睿航空工业有限公司,91320581MA21W22K85,苏州,江苏亨睿航空工业有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏优利先进科技有限公司,91320200MA240R2N9N,无锡,江苏优利先进科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
江苏优思微智能科技有限公司,91320505MA25TFEA5D,苏州,江苏优思微智能科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
江苏优盾通信实业有限公司,91320404058682729U,常州,江苏优盾通信实业有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏佰易信息科技有限公司,91320583MA21GK126J,苏州,江苏佰易信息科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏保旺达软件技术有限公司,91320000575372059K,南京,江苏保旺达软件技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏兆胜空调有限公司,91321283253038816K,泰州,江苏兆胜空调有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏冰城氢能科技有限公司,91321181323944989Y,镇江,江苏氢太新能源有限公司,1,1,2016,2016,企业,否,否,P3-候选观察,建议补录进企业主表
江苏创时空信息技术有限公司,91321091MA1YQDDR08,扬州,江苏创时空信息技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏华东八一四地球物理勘查有限公司(江苏省有色金属华东地质勘查局八一四队),,南京,江苏华东八一四地球物理勘查有限公司(江苏省有色金属华东地质勘查局八一四队),1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏华凌科技咨询有限公司,9132061130222988XG,南通,江苏华凌科技咨询有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏君立华域信息安全技术股份有限公司,91320115793712955H,南京,江苏君立华域信息安全技术股份有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏和为警用器材制造有限公司,913207245558226141,连云港,江苏和为警用器材制造有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏和正特种装备有限公司,91321183083106889B,镇江,江苏和正特种装备有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏善诚博睿电子科技有限公司,91320913MA7M3NB922,盐城,江苏善诚博睿电子科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏嘉华通讯科技有限公司,91320214MA1WBMU765,苏州,江苏嘉华通讯科技有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
江苏园上园智能科技有限公司,91320412MA20ERY66L,常州,江苏园上园智能科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏国兴航空科技有限公司,91320302MA1MT3DT5Y,徐州,江苏国兴航空科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏国创科源电力设计有限公司,91321003MA27F7RJ50,南京,江苏国创科源电力设计有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏国润水务有限公司,913201140940065921,南京,江苏国润水务有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏地信纬业测绘有限公司,91320113MA1NPFB82D,泰州,江苏地信纬业测绘有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏壮龙无人机有限公司,91321003MACD0F01XX,扬州,江苏壮龙无人机有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
江苏大洋海洋装备有限公司,9132128366576470XC,南京,江苏大洋海洋装备有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏大石信息科技有限公司,91320301MA1W0DMU9C,徐州,江苏大石信息科技有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
江苏天一航空工业股份有限公司,913209255691900990,盐城,江苏天一航空工业股份有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏天域航空科技集团股份有限公司,91320400MA1MGDTL8Y,常州,江苏天域航空科技集团股份有限公司,1,1,2017,2017,企业,否,否,P3-候选观察,建议补录进企业主表
江苏天空之舰航空科技有限公司,91320506MACPCJFG5D,苏州,江苏天空之舰航空科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏奥蓝迪航空科技有限公司,91321112MADGFGMA2A,镇江,江苏奥蓝迪航空科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏如是地球空间信息科技有限公司,91321300MA1MURML8M,宿迁,江苏如是地球空间信息科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏宁翔通用航空有限公司,91320113MA1TC7DB27,南京,江苏宁翔通用航空有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏宏众百德生物科技有限公司,91320214MA1XLTHP56,无锡,江苏宏众百德生物科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏宝尔电子有限公司,9132109173443502X6,扬州,江苏宝尔电子有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏富联通讯技术股份有限公司,91321181MA1PAPA919,镇江,江苏富联通讯技术股份有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
江苏布罗信息技术有限公司,913206815602598700,南通,江苏布罗信息技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏心源航空科技有限公司,91320206MA1T88M00C,无锡,江苏心源航空科技有限公司,1,1,2018,2018,企业,否,否,P3-候选观察,建议补录进企业主表
江苏思极科技服务有限公司,91320106MA21P2N853,南京,江苏思极科技服务有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
江苏恒神股份有限公司,91321100666352897G,镇江,江苏恒神股份有限公司,1,1,2018,2018,企业,否,否,P3-候选观察,建议补录进企业主表
江苏恒铭达航空设备有限公司,913202065677887407,无锡,江苏恒铭达航空设备有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏慧安科创发展有限公司,91321191MA7FHYK49Q,镇江,江苏慧安科创发展有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏慧景电力设备有限公司,91321182MACJ439H2M,镇江,江苏慧景电力设备有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏拓普森房地产资产评估规划测绘有限公司,913205947715157154,苏州,江苏拓普森房地产资产评估规划测绘有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
江苏捷诚车载电子信息工程有限公司,91321100141373708F,镇江,江苏捷诚车载电子信息工程有限公司,1,1,2018,2018,企业,否,否,P3-候选观察,建议补录进企业主表
