申请号,专利名称,申请年份,申请人,主导申请人名称,当前权利人,专利表统一社会信用代码,建议匹配企业,建议匹配信用代码,建议匹配方式,人工复核原因
CN202411413992.0,智能督查系统和方法,2024,广东电网有限责任公司; 广东电网有限责任公司揭阳供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司揭阳供电局,91440000730486030B; 91445200190412515J,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411344937.0,无人机的通信方法和装置、存储介质及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,91440000730486030B; 91440803194383571C,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410998248.5,设备的检测方法、系统、计算机存储介质及电子设备,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202210372612.8,一种交桩点核查方法、系统、设备及存储介质,2022,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,91440000730486030B; 914402001915260394,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411567677.3,未知无人机信号识别方法、装置及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411507740.4,一种无人机定位方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411503635.3,一种应用于低空飞行的数据安全分析系统及方法,2024,深圳市智安托科技有限公司,深圳市智安托科技有限公司,深圳市智安托科技有限公司,91440300MA5G5QK30W,深圳市智源万联科技有限公司,91440300MADFQJH81G,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.8
CN202411717690.2,无人机的位置信息确定方法、装置和可读存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411729395.9,基于YOLO-Mamba融合模型的防坠落装置安装点位识别方法,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411743203.X,无人机的控制方法、存储介质、处理器及电子装置,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411744342.4,物联网辅助的变电站室内无人机导航控制系统、方法及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411729447.2,无人机自主避障路径规划方法、装置及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411729446.8,一种无人机的追踪定位方法及追踪定位装置,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411916460.9,一种无人机图像优化方法、装置、终端设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,91440000730486030B; 91440000890323118Q,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411025008.3,无人机位置的确定方法、装置以及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411971515.6,基于张量化长短期记忆网络的无人机定位方法及相关装置,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411917901.7,基于无人机的电网室内巡视方法、装置及电子装置,2024,广东电网有限责任公司; 广东电网有限责任公司珠海供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司珠海供电局,91440000730486030B; 91440400736180497L,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411883745.7,树障削尾装置的控制方法、电子设备和程序产品,2024,广东电网有限责任公司江门供电局; 广东电网有限责任公司,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局; 广东电网有限责任公司,9144070361774339XT; 91440000730486030B,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN202411912959.2,无人机投掷目标的确定方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司清远供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司清远供电局,91440000730486030B; 914418028975868503,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411997680.9,一种基于图像去噪的压接管检测方法,2024,广东电网有限责任公司广州供电局; 南昌工程学院,广东电网有限责任公司广州供电局,广东电网有限责任公司广州供电局; 南昌工程学院,91440101734916755P; 12360000491018255D,广东电网有限责任公司广州供电局,91440101734916755P,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202111630748.6,无人机多机协同作业管理方法、系统和可读存储介质,2021,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202111633194.5,基于背景分类与迁移学习的绝缘子检测方法,2021,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN201911060737.1,目标检测方法、装置、存储介质及无人机,2019,深圳市道通智能航空技术有限公司,深圳市道通智能航空技术有限公司,深圳市道通智能航空技术股份有限公司,91440300306077254B,深圳市道通智能航空技术股份有限公司,91440300306077254B,当前权利人代码直连,主导申请人与当前权利人不一致
CN202411193852.7,一种基于无人机拍摄图像的配电网线路规划设计方法及系统,2024,广东电网有限责任公司揭阳惠来供电局; 达煌(广东)电力数字科技有限公司,广东电网有限责任公司揭阳惠来供电局,广东电网有限责任公司揭阳惠来供电局; 达煌(广东)电力数字科技有限公司,91445224MA55NHA65J; 91445224MAD05BWU7A,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.812
CN202411622214.2,钢筋绑扎现场的无人机路径规划方法、装置与存储介质,2024,广东电网有限责任公司中山供电局,广东电网有限责任公司中山供电局,广东电网有限责任公司中山供电局,9144200073755186X1,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202211226112.X,一种无人机降落伞控制方法、装置、电子设备及存储介质,2022,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202211248558.2,一种无人机自动巡视作业的控制方法、装置、设备及介质,2022,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202210906882.2,一种无人机控制方法、装置、电子设备及存储介质,2022,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410719980.4,一种出入库管理方法、装置、电子设备和存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司河源供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司河源供电局,91440000730486030B; 91441602196972652K,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN201910696848.5,无人机降落区域的确定方法、装置、无人机和存储介质,2019,广州极飞科技有限公司,广州极飞科技有限公司,广州极飞科技股份有限公司,91440106593721849Y,广州极飞科技股份有限公司,91440106593721849Y,当前权利人代码直连,主导申请人与当前权利人不一致
CN202411239158.4,无人机激光清障机的控制方法及装置,2024,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311753449.0,无人机的放电控制方法、装置、设备及存储介质,2023,深圳市智安新能源科技有限公司,深圳市智安新能源科技有限公司,深圳市智安新能源科技有限公司,91440300MA5GH5592D,深圳市智源万联科技有限公司,91440300MADFQJH81G,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.815
CN202311804168.3,绝缘子内部缺陷检测方法和装置,2023,广州中科智巡科技有限公司,广州中科智巡科技有限公司,广州中科智巡科技有限公司,9144010130458229X5,广州中科云图智能科技有限公司,91440101MA59P95W94,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202311422474.0,一种无人机机巢位置确定方法、装置、设备和存储介质,2023,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311210429.9,一种基于多源数据融合的杆塔三维重建方法及电子设备,2023,广东电网有限责任公司; 广东电网有限责任公司阳江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司阳江供电局,91440000730486030B; 91441700722468027R,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311344598.1,变电站设备的自动缺陷排查方法、装置、设备及存储介质,2023,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,91440000730486030B; 914414000072087795,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311609827.8,一种无人机业务进度的跟踪方法及相关装置,2023,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311719971.7,一种缺陷检测方法、装置、设备和存储介质,2023,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,91440000730486030B; 914402001915260394,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311518616.3,一种无人机飞鸟检测方法、系统、设备和介质,2023,广东电网有限责任公司; 广东电网有限责任公司阳江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司阳江供电局,91440000730486030B; 91441700722468027R,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311548805.5,一种电力杆塔建模图像采集控制方法、装置、终端及介质,2023,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311547405.2,无人机目标检测方法、装置、计算机设备、介质和产品,2023,南方电网通用航空服务有限公司,南方电网通用航空服务有限公司,南方电网通用航空服务有限公司; 广东电网有限责任公司肇庆供电局,91530000MA6MYLGN0A,南方电网通用航空服务有限公司,91530000MA6MYLGN0A,信用代码直连,主导申请人与当前权利人不一致
CN202311527180.4,一种配电网故障定位方法、装置、设备和可读存储介质,2023,广东电网有限责任公司云浮供电局; 南方电网科学研究院有限责任公司,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局; 南方电网科学研究院有限责任公司,91445302736165326Y; 914400005645564342,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN202311755212.6,一种用于复杂信号场的变电站无人机控制方法及相关装置,2023,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311755233.8,一种变电站室内无人机紧急避险路线选择方法及相关装置,2023,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311599382.X,一种基于移动便携机巢的多架无人机控制方法及系统,2023,广州中科智云科技有限公司,广州中科智云科技有限公司,广州中科智云科技有限公司,91440101MA5AK5454X,广州中科云图智能科技有限公司,91440101MA59P95W94,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202311676856.6,一种无人机回收方法、系统、设备和存储介质,2023,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311678629.7,一种基于单目配网机巡数据的外破检测方法及系统,2023,广东电网有限责任公司; 广东电网有限责任公司云浮供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司云浮供电局,91440000730486030B; 91445302736165326Y,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410141452.5,供电导线的安全性确定方法、存储介质及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311834638.0,一种无人机群组网无人机集群作业系统,2023,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,914412001952813907,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202311688791.7,一种无人机通信混合组网集群控制系统,2023,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,914412001952813907,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410192413.8,一种无人机悬停位置信息方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司汕尾供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕尾供电局,91440000730486030B; 9144150063284114XA,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
